TPJOJ.2.4                  : Data Processing Version ID
000314 Victoria_1          : Target database id number and name
 -0.690  33.560            : Latitude and longitude (degrees East) of target mid-point
 -0.019  -1.335            : Latitude range of pass traversing target at which data is accepted
120      60                : Satellite pass and revolution number designation
          1                : Reference pass derived from Jason-2 cycle #
          1                : Reference pass tracker selection (ocean=0, ice=1)
Column 1: Calendar year/month/day
Column 2: Hour of day
Column 3: Minute of hour
Column 4: Smoothed target height variation with respect to Jason-2 reference pass level (meters, default=999.99)
Column 5: Smoothed target height variation in EGM2008 datum (meters above mean sea level, default=9999.99)
20031016 11 34      0.40   1135.52
20031026  9 32      0.38   1135.49
20031105  7 31      0.35   1135.47
20031115  5 30      0.35   1135.47
99999999 99 99    999.99   9999.99
20031205  1 27      0.35   1135.47
20031214 23 25      0.35   1135.47
20031224 21 24      0.35   1135.47
20040103 19 22      0.35   1135.47
20040113 17 21      0.33   1135.45
20040123 15 19      0.31   1135.43
20040202 13 18      0.30   1135.42
20040212 11 16      0.29   1135.41
20040222  9 15      0.28   1135.40
20040303  7 13      0.27   1135.39
20040313  5 12      0.25   1135.37
20040323  3 10      0.25   1135.37
20040402  1  9      0.27   1135.39
20040411 23  7      0.30   1135.42
20040421 21  6      0.35   1135.47
20040501 19  5      0.39   1135.51
20040511 17  3      0.41   1135.53
20040521 15  2      0.41   1135.53
20040531 13  0      0.39   1135.51
20040610 10 59      0.36   1135.48
20040620  8 57      0.30   1135.42
20040630  6 56      0.23   1135.35
20040710  4 54      0.16   1135.28
20040720  2 53      0.10   1135.22
20040729  0 51      0.05   1135.17
20040808 22 50      0.01   1135.13
20040818 20 48     -0.02   1135.10
20040828 18 47     -0.04   1135.08
20040907 16 45     -0.07   1135.05
20040917 14 44     -0.10   1135.02
20040927 12 42     -0.12   1134.99
20041007 10 41     -0.15   1134.97
20041017  8 39     -0.16   1134.96
20041027  6 38     -0.17   1134.95
20041106  4 37     -0.18   1134.94
20041116  2 35     -0.17   1134.95
20041125  0 34     -0.16   1134.96
20041205 22 32     -0.15   1134.97
20041215 20 31     -0.13   1134.99
20041225 18 29     -0.12   1135.00
20050104 16 28     -0.11   1135.01
20050114 14 26     -0.12   1135.00
20050124 12 25     -0.12   1135.00
20050203 10 23     -0.14   1134.98
20050213  8 22     -0.16   1134.96
20050223  6 20     -0.18   1134.94
20050305  4 19     -0.20   1134.92
20050315  2 17     -0.21   1134.91
20050324  0 16     -0.21   1134.91
20050403 22 15     -0.20   1134.92
20050413 20 13     -0.17   1134.95
20050423 18 12     -0.15   1134.97
20050503 16 10     -0.12   1135.00
20050513 14  9     -0.10   1135.02
20050523 12  7     -0.09   1135.03
20050602 10  6     -0.11   1135.01
20050612  8  4    999.99   9999.99
20050622  6  3    999.99   9999.99
20050702  4  1     -0.14   1134.98
20050712  2  0     -0.18   1134.94
20050721 23 58     -0.22   1134.90
20050731 21 57     -0.26   1134.86
20050810 19 55     -0.29   1134.83
20050820 17 54     -0.31   1134.81
20050830 15 53     -0.33   1134.79
20050909 13 51     -0.35   1134.77
20050919 11 50     -0.37   1134.74
20050929  9 48     -0.40   1134.72
20051009  7 47     -0.42   1134.70
20051019  5 45     -0.43   1134.69
20051029  3 44     -0.43   1134.69
