تعديل,التاريخ,البحيرة,المنسوب  (م ),المساحة  (كم2 ),السعة التخزينية  (مليار م2 )
,2020-10-25 00:00:00.000,بحيرة منخفض توشكي 1,160,600,11.2
,2020-10-25 00:00:00.000,بحيرة منخفض توشكي 2,146,334,3.6
,2020-10-25 00:00:00.000,بحيرة منخفض توشكي 3,160,346,5.3
,2020-10-25 00:00:00.000,بحيرة منخفض توشكي 4,111,179,1.8
,2020-10-30 00:00:00.000,بحيرة منخفض توشكي 1,160,600,11.2
,2020-10-30 00:00:00.000,بحيرة منخفض توشكي 2,146,334,3.6
,2020-10-30 00:00:00.000,بحيرة منخفض توشكي 3,160,346,5.3
,2020-10-30 00:00:00.000,بحيرة منخفض توشكي 4,115,215,2.6
,2020-11-04 00:00:00.000,بحيرة منخفض توشكي 1,160,600,11.2
,2020-11-04 00:00:00.000,بحيرة منخفض توشكي 2,146,334,3.6
,2020-11-04 00:00:00.000,بحيرة منخفض توشكي 3,160,346,5.3
,2020-11-04 00:00:00.000,بحيرة منخفض توشكي 4,119,255,3.5
,2020-11-14 00:00:00.000,بحيرة منخفض توشكي 1,160,600,11.2
,2020-11-14 00:00:00.000,بحيرة منخفض توشكي 2,146,334,3.6
,2020-11-14 00:00:00.000,بحيرة منخفض توشكي 3,160,346,5.3
,2020-11-14 00:00:00.000,بحيرة منخفض توشكي 4,119,255,3.5
,2020-11-19 00:00:00.000,بحيرة منخفض توشكي 1,160,600,11.2
,2020-11-19 00:00:00.000,بحيرة منخفض توشكي 2,146,334,3.6
,2020-11-19 00:00:00.000,بحيرة منخفض توشكي 3,160,346,5.3
,2020-11-19 00:00:00.000,بحيرة منخفض توشكي 4,129,333,6.8
,2020-11-24 00:00:00.000,بحيرة منخفض توشكي 1,160,600,11.2
,2020-11-24 00:00:00.000,بحيرة منخفض توشكي 2,146,334,3.6
,2020-11-24 00:00:00.000,بحيرة منخفض توشكي 3,160,346,5.3
,2020-11-24 00:00:00.000,بحيرة منخفض توشكي 4,130,410,7.1
,2020-11-29 00:00:00.000,بحيرة منخفض توشكي 1,160,600,11.2
,2020-11-29 00:00:00.000,بحيرة منخفض توشكي 2,146,334,3.6
,2020-11-29 00:00:00.000,بحيرة منخفض توشكي 3,160,346,5.3
,2020-11-29 00:00:00.000,بحيرة منخفض توشكي 4,131,427,7.5
,2020-12-04 00:00:00.000,بحيرة منخفض توشكي 1,160,600,11.2
,2020-12-04 00:00:00.000,بحيرة منخفض توشكي 2,146,334,3.6
,2020-12-04 00:00:00.000,بحيرة منخفض توشكي 3,160,346,5.3
,2020-12-04 00:00:00.000,بحيرة منخفض توشكي 4,132,444,8
,2020-12-09 00:00:00.000,بحيرة منخفض توشكي 1,160,600,11.2
,2020-12-09 00:00:00.000,بحيرة منخفض توشكي 2,146,334,3.6
,2020-12-09 00:00:00.000,بحيرة منخفض توشكي 3,160,346,5.3
,2020-12-09 00:00:00.000,بحيرة منخفض توشكي 4,134,484,8.9
,2020-12-14 00:00:00.000,بحيرة منخفض توشكي 1,160,600,11.2
,2020-12-14 00:00:00.000,بحيرة منخفض توشكي 2,146,334,3.6
,2020-12-14 00:00:00.000,بحيرة منخفض توشكي 3,160,346,5.3
,2020-12-14 00:00:00.000,بحيرة منخفض توشكي 4,134,484,8.9
,2020-12-19 00:00:00.000,بحيرة منخفض توشكي 1,160,600,11.2
,2020-12-19 00:00:00.000,بحيرة منخفض توشكي 2,146,334,5.3
,2020-12-19 00:00:00.000,بحيرة منخفض توشكي 3,160,346,5.3
,2021-01-03 00:00:00.000,بحيرة منخفض توشكي 1,160,600,11.2
,2021-01-03 00:00:00.000,بحيرة منخفض توشكي 2,146,334,3.6
,2021-01-03 00:00:00.000,بحيرة منخفض توشكي 3,160,346,5.3
,2021-01-03 00:00:00.000,بحيرة منخفض توشكي 4,134,484,8.9
,2021-01-08 00:00:00.000,بحيرة منخفض توشكي 1,160,600,11.2
,2021-01-08 00:00:00.000,بحيرة منخفض توشكي 2,146,334,3.6
,2021-01-08 00:00:00.000,بحيرة منخفض توشكي 3,160,346,5.3
,2021-01-08 00:00:00.000,بحيرة منخفض توشكي 4,134,484,8.9
,2021-01-23 00:00:00.000,بحيرة منخفض توشكي 1,158,560,9.9
,2021-01-23 00:00:00.000,بحيرة منخفض توشكي 2,134,282,2.6
,2021-01-23 00:00:00.000,بحيرة منخفض توشكي 3,158,268,4.6
,2021-01-23 00:00:00.000,بحيرة منخفض توشكي 4,135,495,9.2
,2021-02-07 00:00:00.000,بحيرة منخفض توشكي 1,157,530,9.4
,2021-02-07 00:00:00.000,بحيرة منخفض توشكي 2,143,282,2.6
,2021-02-07 00:00:00.000,بحيرة منخفض توشكي 3,157,278,4.1
